open,high,low,close,volume,vwap,timestamp,transactions,otc
110.55,110.55,106.095,106.83,20381446.0,107.4643,2025-01-31 05:00:00,217095,
106.64,107.3,105.3225,107.09,14623197.0,106.7077,2025-02-03 05:00:00,158034,
106.705,110.28,106.53,109.96,14835692.0,109.4967,2025-02-04 05:00:00,146030,
109.74,110.01,109.1,109.88,13364387.0,109.6928,2025-02-05 05:00:00,106491,
110.77,111.05,107.985,108.43,13411401.0,108.6668,2025-02-06 05:00:00,125984,
108.78,109.7304,108.32,108.89,10051626.0,109.1763,2025-02-07 05:00:00,111786,
110.005,111.03,109.875,110.97,12142197.0,110.6577,2025-02-10 05:00:00,132346,
111.6,112.51,110.82,111.67,12713127.0,111.7285,2025-02-11 05:00:00,129504,
110.05,110.2269,107.18,107.35,18244122.0,108.1557,2025-02-12 05:00:00,155344,
107.15,108.41,106.52,108.13,15459952.0,107.9246,2025-02-13 05:00:00,126330,
108.52,110.23,108.1,108.24,15733529.0,108.6998,2025-02-14 05:00:00,125869,
108.63,110.99,108.32,110.14,20060298.0,110.1021,2025-02-18 05:00:00,131988,
110.755,112.13,110.055,110.3,10964698.0,110.7838,2025-02-19 05:00:00,115486,
110.57,112.42,109.95,112.0,16325803.0,111.5957,2025-02-20 05:00:00,130891,
111.32,111.85,110.56,110.69,14709985.0,110.9689,2025-02-21 05:00:00,136103,
110.925,111.86,110.32,111.27,13153471.0,111.2966,2025-02-24 05:00:00,128919,
111.3,112.13,108.8902,109.73,14496964.0,109.8772,2025-02-25 05:00:00,122122,
109.74,109.87,108.52,109.46,10446405.0,109.1392,2025-02-26 05:00:00,121587,
110.01,111.29,109.28,110.15,15293173.0,110.3314,2025-02-27 05:00:00,134704,
110.11,111.58,109.34,111.33,18821665.0,110.8651,2025-02-28 05:00:00,143676,
111.7,112.1563,106.51,107.76,18706879.0,108.5907,2025-03-03 05:00:00,191535,
106.36,108.96,105.94,107.54,19394905.0,107.4936,2025-03-04 05:00:00,189823,
105.84,106.33,103.67,105.44,24822245.0,105.0922,2025-03-05 05:00:00,218798,
105.43,108.11,104.36,107.62,17150233.0,106.662,2025-03-06 05:00:00,176477,
108.41,110.4,108.3,109.02,19624965.0,109.4167,2025-03-07 05:00:00,192716,
109.275,112.565,109.08,111.8,22749073.0,111.2593,2025-03-10 04:00:00,239168,
111.92,112.1,108.785,109.16,19904735.0,109.5783,2025-03-11 04:00:00,199166,
109.05,110.13,108.42,109.13,14051500.0,109.2579,2025-03-12 04:00:00,148309,
108.33,110.82,107.625,108.67,17767836.0,108.7411,2025-03-13 04:00:00,187685,
108.94,112.18,108.31,111.9,15890063.0,111.2313,2025-03-14 04:00:00,152684,
111.8,114.495,111.73,113.76,19908789.0,113.7353,2025-03-17 04:00:00,172550,
114.09,114.54,112.57,113.64,15998713.0,113.5234,2025-03-18 04:00:00,149483,
114.2,115.815,113.83,115.41,17315001.0,115.124,2025-03-19 04:00:00,159329,
114.72,116.47,114.2125,115.9,16230772.0,115.6782,2025-03-20 04:00:00,164960,
115.5,115.99,114.35,115.5,41102795.0,115.3827,2025-03-21 04:00:00,143386,
115.68,116.91,115.58,115.8,14207469.0,116.1391,2025-03-24 04:00:00,151502,
116.43,117.635,115.9628,116.59,12081795.0,116.6699,2025-03-25 04:00:00,119119,
117.68,119.18,117.68,118.27,14112756.0,118.3627,2025-03-26 04:00:00,143814,
118.1,119.07,117.258,117.89,12740786.0,118.129,2025-03-27 04:00:00,118989,
118.1,118.46,117.235,117.73,10233433.0,117.7465,2025-03-28 04:00:00,117664,
117.79,119.905,117.79,118.93,21652345.0,119.0742,2025-03-31 04:00:00,178686,
119.22,119.28,117.93,119.04,12425434.0,118.6382,2025-04-01 04:00:00,134269,
118.39,118.84,117.66,118.67,12614605.0,118.449,2025-04-02 04:00:00,133422,
114.37,115.45,112.2315,112.43,21204636.0,113.547,2025-04-03 04:00:00,244644,
109.865,110.83,103.83,104.34,30841318.0,106.2965,2025-04-04 04:00:00,347224,
100.39,105.8,98.46,102.94,35068450.0,102.0335,2025-04-07 04:00:00,397539,
105.455,105.6,99.01,100.77,27147750.0,102.1675,2025-04-08 04:00:00,277994,
99.37,106.58,98.13,105.8,30063287.0,102.9581,2025-04-09 04:00:00,318305,
103.71,103.78,97.8,99.93,33999317.0,100.0224,2025-04-10 04:00:00,333960,
100.3,103.93,98.79,103.14,22884628.0,101.726,2025-04-11 04:00:00,226846,
105.03,105.09,102.7205,103.39,18019969.0,103.7289,2025-04-14 04:00:00,166531,
103.635,105.405,103.0,103.1,13164863.0,103.7567,2025-04-15 04:00:00,133907,
